entity	entities
abstraction	abstractions
thing	things
object	objects
whole	wholes
unit	units
congener	congeners
organism	organisms
being	beings
benthos	benthoss
dwarf	dwarves
heterotroph	heterotrophs
parent	parents
life	lives
biont	bionts
cell	cells
cause	causes
person	people
individual	individuals
someone	someones
somebody	somebodies
mortal	mortals
soul	souls
animal	animals
beast	beasts
brute	brutes
creature	creatures
fauna	faunas
plant	plants
flora	floras
native	natives
substance	substances
matter	matters
food	foods
nutrient	nutrients
artifact	artifacts
artefact	artefacts
article	articles
cognition	cognitions
knowledge	knowledge
noesis	noeses
motivation	motivations
motive	motives
need	needs
attribute	attributes
state	states
feeling	feelings
location	locations
shape	shapes
form	forms
time	times
space	spaces
infinite	infinites
event	events
process	processes
act	acts
deed	deeds
group	groups
grouping	groupings
relation	relations
possession	possessions
communication	communications
measure	measures
quantity	quantities
amount	amounts
phenomenon	phenomena
kindness	kindnesses
benignity	benignities
abdominoplasty	abdominoplasties
abort	aborts
accomplishment	accomplishments
achievement	achievements
agon	agons
alienation	alienations
application	applications
beachhead	beachheads
foothold	footholds
cakewalk	cakewalks
feat	feats
effort	efforts
exploit	exploits
masterpiece	masterpieces
masterstroke	masterstrokes
credit	credits
action	actions
course	courses
interaction	interactions
interplay	interplays
contact	contacts
brush	brushes
fetch	fetches
placement	placements
interchange	interchanges
reciprocation	reciprocations
give-and-take	give-and-takes
reciprocity	reciprocities
cross-fertilization	cross-fertilizations
cross-fertilisation	cross-fertilisations
dealings	dealingss
traffic	traffics
playing	playings
play	plays
swordplay	swordplays
boondoggle	boondoggles
bowling	bowlings
acquiring	acquirings
getting	gettings
causing	causings
causation	causations
delivery	deliveries
departure	departures
going	goings
leaving	leavings
derring-do	derring-does
discovery	discoveries
find	finds
uncovering	uncoverings
disposal	disposals
disposition	dispositions
hit	hits
implementation	implementations
effectuation	effectuations
egress	egresses
egression	egressions
emergence	emergences
equalization	equalizations
equalisation	equalisations
leveling	levelings
exhumation	exhumations
disinterment	disinterments
mitzvah	mitzvahs
mitsvah	mitsvahs
propulsion	propulsions
actuation	actuations
rally	rallies
rallying	rallyings
recovery	recoveries
retrieval	retrievals
stunt	stunts
touch	touches
touching	touchings
performance	performances
overachievement	overachievements
underachievement	underachievements
record	records
sledding	sleddings
arrival	arrivals
reaching	reachings
attainment	attainments
advent	advents
coming	comings
entrance	entrances
entering	enterings
entry	entries
ingress	ingresses
incoming	incomings
incursion	incursions
intrusion	intrusions
irruption	irruptions
entree	entrees
entail	entails
registration	registrations
enrollment	enrollments
enrolment	enrolments
appearance	appearances
apparition	apparitions
emersion	emersions
reappearance	reappearances
return	returns
comeback	comebacks
homecoming	homecomings
repatriation	repatriations
penetration	penetrations
interpenetration	interpenetrations
permeation	permeations
anchorage	anchorages
docking	dockings
moorage	moorages
dockage	dockages
landing	landings
farewell	farewells
leave	leaves
leave-taking	leave-takings
parting	partings
valediction	valedictions
disappearance	disappearances
disappearing	disappearings
vanishing	vanishings
withdrawal	withdrawals
effacement	effacements
self-effacement	self-effacements
retreat	retreats
retirement	retirements
evacuation	evacuations
medevac	medevacs
medivac	medivacs
decampment	decampments
desertion	desertions
abandonment	abandonments
defection	defections
abscondment	abscondments
deviationism	deviationisms
emigration	emigrations
out-migration	out-migrations
expatriation	expatriations
immigration	immigrations
in-migration	in-migrations
aliyah	aliyahs
pullback	pullbacks
standdown	standdowns
stand-down	stand-downs
disengagement	disengagements
fallback	fallbacks
pullout	pullouts
receding	recedings
recession	recessions
sailing	sailings
debarkation	debarkations
disembarkation	disembarkations
disembarkment	disembarkments
boarding	boardings
embarkation	embarkations
embarkment	embarkments
exit	exits
elopement	elopements
escape	escapes
flight	flights
evasion	evasions
slip	slips
elusion	elusions
eluding	eludings
maneuver	maneuvers
manoeuvre	manoeuvres
clinch	clinches
dodge	dodges
break	breaks
breakout	breakouts
jailbreak	jailbreaks
gaolbreak	gaolbreaks
prisonbreak	prisonbreaks
prison-breaking	prison-breakings
getaway	getaways
lam	lams
exodus	exoduss
hegira	hegiras
hejira	hejiras
Hegira	Hegiras
Hejira	Hejiras
skedaddle	skedaddles
squeak	squeaks
squeaker	squeakers
surfacing	surfacings
dispatch	dispatches
despatch	despatches
shipment	shipments
reshipment	reshipments
consummation	consummations
realization	realizations
realisation	realisations
fruition	fruitions
orgasm	orgasms
climax	climaxes
fulfillment	fulfillments
fulfilment	fulfilments
self-fulfillment	self-fulfillments
self-realization	self-realizations
self-realisation	self-realisations
success	successes
winning	winnings
blockbuster	blockbusters
megahit	megahits
sleeper	sleepers
smash	smashes
smasher	smashers
strike	strikes
bang	bangs
mark	marks
ennoblement	ennoblements
conquest	conquests
coup	coups
passing	passings
pass	passes
qualifying	qualifyings
nonaccomplishment	nonaccomplishments
nonachievement	nonachievements
failure	failures
failing	failings
flunk	flunks
naught	naughts
cut	cuts
default	defaults
loss	losses
capitulation	capitulations
fall	falls
surrender	surrenders
frustration	frustrations
thwarting	thwartings
foiling	foilings
overturn	overturns
upset	upsets
backsliding	backslidings
lapse	lapses
lapsing	lapsings
relapse	relapses
relapsing	relapsings
reversion	reversions
reverting	revertings
recidivism	recidivisms
disappointment	disappointments
breach	breaches
copout	copouts
leaning	leanings
motivating	motivatings
mistake	mistakes
error	errors
fault	faults
footfault	footfaults
bobble	bobbles
misplay	misplays
blot	blots
smear	smears
smirch	smirches
spot	spots
stain	stains
confusion	confusions
mix-up	mix-ups
miscalculation	miscalculations
misreckoning	misreckonings
misestimation	misestimations
backfire	backfires
boomerang	boomerangs
rounding	roundings
distortion	distortions
slip-up	slip-ups
miscue	miscues
parapraxis	parapraxes
offside	offsides
oversight	oversights
omission	omissions
skip	skips
blunder	blunders
blooper	bloopers
bloomer	bloomers
bungle	bungles
pratfall	pratfalls
foul-up	foul-ups
fuckup	fuckups
flub	flubs
botch	botches
boner	boners
boo-boo	boos-boos
snafu	snafus
spectacle	spectacles
ballup	ballups
balls-up	balls-ups
cockup	cockups
mess-up	mess-ups
bull	bulls
fumble	fumbles
muff	muffs
fluff	fluffs
gaffe	gaffes
solecism	solecisms
gaucherie	gaucheries
howler	howlers
clanger	clangers
trip	trips
trip-up	trip-ups
stumble	stumbles
misstep	missteps
spill	spills
tumble	tumbles
